goos: darwin
goarch: arm64
pkg: main_test
Benchmark_TSP_Greedy/greedy_input_size_10-10        	      10	      1317 ns/op	     368 B/op	       2 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_10-10        	      10	      1283 ns/op	     368 B/op	       2 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_10-10        	      10	      2292 ns/op	     368 B/op	       2 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_10-10        	      10	      1400 ns/op	     368 B/op	       2 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	     10438 ns/op	    1282 B/op	       7 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	     10542 ns/op	    1260 B/op	       6 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	      9946 ns/op	    1172 B/op	       5 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	      9225 ns/op	    1229 B/op	       6 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	      9329 ns/op	    1227 B/op	       6 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	     11058 ns/op	    1263 B/op	       6 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	     10146 ns/op	    1304 B/op	       7 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	      9396 ns/op	    1227 B/op	       6 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	     10162 ns/op	    1224 B/op	       5 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_25-10        	      10	      9571 ns/op	    1317 B/op	       7 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     33729 ns/op	    2732 B/op	       9 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     34521 ns/op	    2800 B/op	      10 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     32708 ns/op	    2749 B/op	       9 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     33979 ns/op	    2900 B/op	      12 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     33346 ns/op	    2763 B/op	       9 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     33733 ns/op	    2818 B/op	      10 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     32992 ns/op	    2852 B/op	      11 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     32142 ns/op	    2920 B/op	      12 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     34325 ns/op	    2852 B/op	      11 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_50-10        	      10	     31842 ns/op	    2902 B/op	      12 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    118858 ns/op	    6137 B/op	      16 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    118404 ns/op	    6128 B/op	      15 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    121579 ns/op	    6104 B/op	      15 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    122538 ns/op	    6169 B/op	      15 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    119762 ns/op	    6072 B/op	      14 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    120458 ns/op	    6140 B/op	      15 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    123483 ns/op	    6257 B/op	      17 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    115408 ns/op	    6152 B/op	      16 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    116458 ns/op	    6155 B/op	      16 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_100-10       	      10	    114400 ns/op	    5881 B/op	      11 allocs/op
PASS
ok  	main_test	0.172s
